"UserId","Category","Num_books_for_Category","Spending"
"User_00559","Bambini e Ragazzi",4,147
"User_00560","Bambini e Ragazzi",1,10
"User_00561","Bambini e Ragazzi",1,33
"User_00562","Bambini e Ragazzi",1,43
"User_00563","Bambini e Ragazzi",1,4
"User_00564","Bambini e Ragazzi",1,4
"User_00565","Bambini e Ragazzi",1,38
"User_00566","Bambini e Ragazzi",1,17
"User_00567","Bambini e Ragazzi",1,9
"User_00568","Bambini e Ragazzi",1,5
"User_00569","Bambini e Ragazzi",1,2
"User_00570","Bambini e Ragazzi",1,48
"User_00571","Bambini e Ragazzi",1,10
"User_00572","Bambini e Ragazzi",1,5
"User_00573","Bambini e Ragazzi",3,26
"User_00574","Bambini e Ragazzi",1,18
"User_00575","Bambini e Ragazzi",1,48
"User_00576","Bambini e Ragazzi",2,76
"User_00577","Bambini e Ragazzi",1,10
"User_00578","Bambini e Ragazzi",1,34
"User_00579","Bambini e Ragazzi",1,10
"User_00580","Bambini e Ragazzi",1,20
"User_00581","Bambini e Ragazzi",1,6
"User_00582","Bambini e Ragazzi",1,8
"User_00583","Bambini e Ragazzi",1,10
"User_00584","Bambini e Ragazzi",3,160
"User_00585","Bambini e Ragazzi",1,13
"User_00586","Bambini e Ragazzi",1,10
"User_00587","Bambini e Ragazzi",1,10
"User_00588","Bambini e Ragazzi",1,16
"User_00589","Bambini e Ragazzi",1,4
"User_00590","Bambini e Ragazzi",1,2
"User_00591","Bambini e Ragazzi",1,45
"User_00592","Bambini e Ragazzi",2,104
"User_00593","Bambini e Ragazzi",1,55
"User_00594","Bambini e Ragazzi",1,14
"User_00595","Bambini e Ragazzi",1,28
"User_00596","Bambini e Ragazzi",1,30
"User_00597","Bambini e Ragazzi",2,3
"User_00598","Bambini e Ragazzi",1,5
"User_00599","Bambini e Ragazzi",1,48
"User_00600","Bambini e Ragazzi",1,55
"User_00601","Bambini e Ragazzi",1,10
"User_00602","Bambini e Ragazzi",2,20
"User_00603","Bambini e Ragazzi",1,10
"User_00604","Bambini e Ragazzi",2,27
"User_00605","Bambini e Ragazzi",1,60
"User_00606","Bambini e Ragazzi",1,6
"User_00607","Bambini e Ragazzi",1,62
"User_00608","Bambini e Ragazzi",1,8
"User_00609","Bambini e Ragazzi",1,10
"User_00610","Bambini e Ragazzi",1,30
"User_00611","Bambini e Ragazzi",1,25
"User_00612","Bambini e Ragazzi",2,10
"User_00613","Bambini e Ragazzi",1,10
"User_00614","Bambini e Ragazzi",1,2
"User_00615","Bambini e Ragazzi",1,10
"User_00616","Bambini e Ragazzi",2,16
"User_00617","Bambini e Ragazzi",1,10
"User_00618","Bambini e Ragazzi",1,10
"User_00619","Bambini e Ragazzi",1,2
"User_00620","Bambini e Ragazzi",1,10
"User_00621","Bambini e Ragazzi",1,10
"User_00622","Bambini e Ragazzi",1,10
"User_00623","Bambini e Ragazzi",1,14
"User_00624","Bambini e Ragazzi",1,10
"User_00625","Bambini e Ragazzi",1,50
"User_00626","Bambini e Ragazzi",1,34
"User_00627","Bambini e Ragazzi",1,2
"User_00628","Bambini e Ragazzi",3,31
"User_00629","Bambini e Ragazzi",1,36
